cursoId,titulo,descripcion,nivel,anioPublicacion,calificacionPromedio
C-001,Introducción a Python,Curso Introducción a Python con enfoque práctico.,Avanzado,2022,
C-002,Fundamentos de Bases de Datos,Curso Fundamentos de Bases de Datos con enfoque práctico.,Intermedio,2020,
C-003,Estadística para Todos,Curso Estadística para Todos con enfoque práctico.,Intermedio,2019,
C-004,Desarrollo Web con HTML y CSS,Curso Desarrollo Web con HTML y CSS con enfoque práctico.,Básico,2022,
C-005,JavaScript Desde Cero,Curso JavaScript Desde Cero con enfoque práctico.,Intermedio,2019,
C-006,Análisis de Datos con Pandas,Curso Análisis de Datos con Pandas con enfoque práctico.,Avanzado,2019,
C-007,Machine Learning Intro,Curso Machine Learning Intro con enfoque práctico.,Básico,2023,
C-008,Diseño UX/UI,Curso Diseño UX/UI con enfoque práctico.,Básico,2019,
C-009,Introducción al Marketing Digital,Curso Introducción al Marketing Digital con enfoque práctico.,Avanzado,2019,
C-010,Álgebra Lineal Aplicada,Curso Álgebra Lineal Aplicada con enfoque práctico.,Avanzado,2023,
C-011,Programación en Java,Curso Programación en Java con enfoque práctico.,Avanzado,2025,
C-012,Docker y Contenedores,Curso Docker y Contenedores con enfoque práctico.,Intermedio,2020,
C-013,Redes de Computadores,Curso Redes de Computadores con enfoque práctico.,Básico,2023,
C-014,Ciencia de Datos Práctica,Curso Ciencia de Datos Práctica con enfoque práctico.,Básico,2021,
C-015,Git y Control de Versiones,Curso Git y Control de Versiones con enfoque práctico.,Intermedio,2022,
C-016,Linux para Principiantes,Curso Linux para Principiantes con enfoque práctico.,Intermedio,2022,
C-017,Seguridad Informática Básica,Curso Seguridad Informática Básica con enfoque práctico.,Intermedio,2019,
C-018,Arquitectura de Software,Curso Arquitectura de Software con enfoque práctico.,Intermedio,2021,
